City,Region
Alameda,Bay Area
Alpine,Central Sierra
Amador,Central Sierra
Butte,Northern Sacramento Valley
Calaveras,Central Sierra
Colusa,Northern Sacramento Valley
Contra Costa,Bay Area
Del Norte,Northern California
El Dorado,Greater Sacramento
Fresno,San Joaquin Valley
Glenn,Northern Sacramento Valley
Humboldt,Northern California
Imperial,Southern Border
Inyo,Central Sierra
Kern,Central Valley
Kings,San Joaquin Valley
Lake,Northern California
Lassen,Northern California
Los Angeles,Southern California
Madera,San Joaquin Valley
Marin,Bay Area
Mariposa,Central Sierra
Mendocino,Northern California
Merced,San Joaquin Valley
Modoc,Northern California
Mono,Central Sierra
Monterey,Central Coast
Napa,Bay Area
Nevada,Northern California
Orange,Southern California
Placer,Greater Sacramento
Plumas,Northern California
Riverside,Southern California
Sacramento,Greater Sacramento
San Benito,Central Coast
San Bernardino,Southern California
San Diego,Southern Border
San Francisco,Bay Area
San Joaquin,San Joaquin Valley
San Luis Obispo,Central Coast
San Mateo,Bay Area
Santa Barbara,Central Coast
Santa Clara,Bay Area
Santa Cruz,Central Coast
Shasta,Northern Sacramento Valley
Sierra,Upstate California
Siskiyou,Northern California
Solano,Bay Area
Sonoma,Bay Area
Stanislaus,San Joaquin Valley
Sutter,Greater Sacramento
Tehama,Northern Sacramento Valley
Trinity,Northern California
Tulare,San Joaquin Valley
Tuolumne,Central Sierra
Ventura,Southern California
Yolo,Greater Sacramento
Yuba,Greater Sacramento
