City,Population,Poverty
Alameda,37691912,13.2
Alpine,1529875,17.4
Amador,1102,14
Butte,37953,22.6
Calaveras,220266,12.5
Colusa,45052,13.2
Contra Costa,21549,11.9
Del Norte,1066096,25.4
El Dorado,28659,10.3
Fresno,180938,25.8
Glenn,942904,19.2
Humboldt,28128,21.1
Imperial,134761,26
Inyo,177057,12.7
Kern,18478,24.6
Kings,851710,21.2
Lake,153765,23
Lassen,64323,19.3
Los Angeles,34200,18.4
Madera,9889056,23.6
Marin,152925,9.4
Mariposa,255031,15.7
Mendocino,18191,20.2
Merced,87553,26.8
Modoc,259898,21.5
Mono,9517,10.8
Monterey,14309,17.1
Napa,421898,12
Nevada,138088,12.1
Orange,98612,13
Placer,3055745,8.5
Plumas,357138,14.8
Riverside,19765,16.9
Sacramento,2239620,17.7
San Benito,1436105,12.4
San Bernardino,56072,19.4
San Diego,2065377,15.2
San Francisco,3140069,13.8
San Joaquin,812826,18.2
San Luis Obispo,696214,15.1
San Mateo,271969,7.9
Santa Barbara,727209,15.4
Santa Clara,426878,10.7
Santa Cruz,1809378,14.9
Shasta,264298,19.4
Sierra,177774,13.6
Siskiyou,3113,24.4
Solano,44507,13.6
Sonoma,416471,12.2
Stanislaus,488116,23.3
Sutter,518522,15.8
Tehama,94919,19.5
Trinity,63601,21.4
Tulare,13723,25.6
Tuolumne,449253,16.6
Ventura,54953,11.5
Yolo,831771,21.3
Yuba,202054,19.6
